Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
PFTS010 0024SS  A,#10 X 1 1/2 PHL FLAT SMS A S/S,BRIK,700,"8,000",0,Fasteners,Screw,,,,
PFTS010 0032ST  ZIAB,#10 X 2 PHIL FLAT TYPE AB,STELFA,700,"1,400",0,Fasteners,Screw,,,,
PFTS010 0036ST-BP,10 X 2 1/2 PHIL FLAT #8 HD,AJF,700,"2,900",0,Fasteners,Screw,,,,
PFTS010 0036STZYBK,10 X 2 1/2 PHL FLAT #8 HEAD,ACC-SP,801,"6,950",0,Fasteners,Screw,,,,
PFTS010 0036STZYVB,10 X 2 1/2 PHL FLAT #8 HEAD,ACC-SP,801,"35,814",0,Fasteners,Screw,,,,
PFTS010 010ST ABBO,10 X 5/8 PHIL FLAT SMS TYPE AB,ACC-SP,701,"174,050",0,Fasteners,Screw,,,,
PFTS010 024ST ZIA,10 X 1 1/2 PHIL FLAT SMS TYPE,STELFA,700,"1,250",0,Fasteners,Screw,,,,
PFTS010 024ST ZIA VB,10 X 1 1/2 PHIL FLAT SMS TYPE,ACC-SP,701,"9,090",0,Fasteners,Screw,,,,
PFTS010 040SS TY A,"10 X 2-1/2 PHIL FLAT SMS ""A""",BRIK,700,800,0,Fasteners,Screw,,,,
PFTS012 0016SS B,"#12 X 1"" PHIL FLAT TYPE B 18-8",FALCON,902-HAY,"3,916",0,Fasteners,Screw,,,,
PFTS013C0016SS-PASS,13-9 X 1 PHILLIPS FLAT PLT30,LUCHU,901-HAYEND,0,"750,000",Fasteners,Screw,,,,
PFTS013C0020SS-PASS,13-9 X 1 1/4 PHIL FLAT PLT30,LUCHU,901-HAYEND,"1,149,496",0,Fasteners,Screw,,,,
PFTS013C0024SS-PASS,13-9 X 1 1/2 PHIL FLAT PLT30,LUCHU,901-HAYEND,"413,110",0,Fasteners,Screw,,,,
PFTS014 0016STZIA,#14 X 1 PHIL FLAT SMS TYPE A,XLSCRE,700,"2,955",0,Fasteners,Screw,,,,
PFTS014 0024STZIA,#14 X 1-1/2 PHIL FLAT SMS TYPE,STELFA,700,"6,400",0,Fasteners,Screw,,,,
PFTS029 0019SS C,M2.9X19 POZI FLT SMS TYPE C A2,LM,700,975,0,Fasteners,Screw,,,,
PFTS250 0625ST AB ZI,1/4 X 5/8 PHIL FLAT SMS AB STL,KAN,700,"5,000",0,Fasteners,Screw,,,,
PFTT06C016STZI3,M6 X 16MM PHIL OR POZI FLAT,KAN,700,664,0,Hardware & Fittings,Hardware Component,,,,
PFWS002 0010STBO,# 2 X 5/8 PHIL FLAT WOOD SCREW,ACC-SP,701,"6,200",0,Fasteners,Screw,,,,
PFWS007 0010STBZ,#7 X 5/8 PHL FLAT WOOD SCREW,ACC-SP,701,"16,300",0,Fasteners,Screw,,,,
PFWS008 0012BR,#8 X 3/4 PHIL FLAT WOOD SCREW,STR,700,"2,000",0,Fasteners,Screw,,,,
PFWS008 0012SS,#8 X 3/4 PHL FLAT WOOD SCREW,BRIK,700,"4,000",0,Fasteners,Screw,,,,
PFWS008 0012STZI,#8 X 3/4 PHL FLAT WOOD SCREW,LM,700,"50,000",0,Fasteners,Screw,,,,
PFWS008 0016STBO,#8 X 1 PHIL FLAT WOOD SCREW,ACC-SP,701,"7,000",0,Fasteners,Screw,,,,
PFWS008 0016STNI,#8 X 1 PHIL FLAT WOOD SCREW,ACC-SP,701,"12,180",0,Fasteners,Screw,,,,
PFWS008 0024SS,#8 X 1 1/2 PHL FLAT WOOD SCREW,STR,700,"58,500",0,Fasteners,Screw,,,,
PFWS008 0024SS ABK,#8 X 1 1/2 PHL FLAT WOOD SCREW,ACC-SP,704-ENDURA,"30,420",0,Fasteners,Screw,,,,
PFWS008 0024SS WH,#8 X 1 1/2 PHL FLAT WOOD SCREW,STR,704-ENDURA,"25,495",0,Fasteners,Screw,,,,
PFWS008 0040BR,#8 X 2 1/2 PHL FLAT WOOD SCREW,STR,700,500,0,Fasteners,Screw,,,,
PFWS008 0040SS,#8 X 2 1/2 PHIL FLAT WOOD SCRW,STR,700,"1,500",0,Fasteners,Screw,,,,
PFWS008 0048SS,#8 X 3 PHIL FLAT HD WOOD SCR,STR,700,"5,000","30,000",Fasteners,Screw,,,,
PFWS008 0048SS ABK,#8 X 3 PHL FLAT WOOD SCREW,ACC-SP,704-ENDURA,"18,900",0,Fasteners,Screw,,,,
PFWS008 0048SS WH,#8 X 3 PHL FLAT WOOD SCREW,STR,704-ENDURA,"1,995",0,Fasteners,Screw,,,,
PFWS010 0012BR,8 X 3/4 PHIL FLAT WOOD SCREW,STR,700,"1,000",0,Fasteners,Screw,,,,
PFWS010 0012SS,#10 X 3/4 PHIL FLAT WOOD SCREW,STR,700,"1,000",0,Fasteners,Screw,,,,
PFWS010 0016BR,8 X 1 PHIL FLAT WOOD SCREW,STR,700,"2,000",0,Fasteners,Screw,,,,
PFWS010 0016SS,10X1 PHIL FLAT HD WOOD SCR,STR,700,"2,000",0,Fasteners,Screw,,,,
PFWS010 0032STZI,10X2 PHIL FLAT WOOD SCREW,STELFA,700,"6,500",0,Fasteners,Screw,,,,
PFWS010 0040BR,10 X 2 1/2 PHIL FLAT WOOD SCRW,STR,700,"1,500",0,Fasteners,Screw,,,,
PFWS010 0040SS,#10 X 2 1/2 PHIL FLAT WOOD SCR,STR,700,"2,500",0,Fasteners,Screw,,,,
PG10-24-2B,10-24 UNF 2B PLUG GAGE,ACC-SP,100.2,4,0,Tools & Tooling,Gauge / Measurement,,,,
PG10-32-2B,10-32 UNF 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG10-32-3B,10-32 UNF 3B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG250-20-2B,1/4-20 UNC 2B PLUG GAGE,ACC-SP,100.2,2,0,Tools & Tooling,Gauge / Measurement,,,,
PG250-28-2B,1/4-28 UNF 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG2-56-2B,2-56 UNC 2B PLUG GAGE,ACC-SP,100.2,4,0,Tools & Tooling,Gauge / Measurement,,,,
PG2-56-3B,2-56 UNC 3B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG312-18-2B,5/16-18 UNC 2B PLUG GAGE,ACC-SP,100.2,2,0,Tools & Tooling,Gauge / Measurement,,,,
PG375-16-2B,3/8-16 UNC 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG375-24-2B,3/8-24 UNF 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG437-20-2B,7/16-20 UNF 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG4-40-2B,4-40 UNC 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG4-40-2B-L,4-40 UNC 2B PLUG GAGE,ACC-SP,100.2,2,0,Tools & Tooling,Gauge / Measurement,,,,
PG4-40-3B,4-40 UNC 3B PLUG GAGE,ACC-SP,100.2,4,0,Tools & Tooling,Gauge / Measurement,,,,
PG6-32-2B,6-32 UNC 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PG8-32-2B,8-32 UNC 2B PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PGM3-0.5-6H,M3X.5 6H PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PGM4-0.7-6H,M4X.7 6H PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PGM6-1.0-6H,M6X1.0 6H PLUG GAGE,ACC-SP,100.2,5,0,Tools & Tooling,Gauge / Measurement,,,,
PHCS500C0040SS,1/2-13 X 2-1/2 PENTA HEAD CAP,BRIK,700,"1,080",0,Hardware & Fittings,Hardware Component,,,,
PHLB375X0048SS304-PP,"3/8-7 X 3"" PENTA HEAD LAG BOLT",GOFAST,902-CHAN,"8,880","10,000",Fasteners,Bolt,,,,
PHLB375X0064SS304-PP,"3/8-7 X 4"" PENTA HEAD LAG BOLT",GOFAST,902-CHAN,"5,780",0,Fasteners,Bolt,,,,
PHTB375C0048SS,"3/8-16 X 3"" PENTA HEAD HEX",STR,700,500,0,Fasteners,Bolt,,,,
PLMS002C0002SSP,2-56X1/8 PHIL FILL HD M/S S/S,ACC-SP,701,700,0,Fasteners,Screw,,,,
PLMS002C0004SSP,2-56 X 1/4 PHIL FILL HD MS,ACC-SP,701,"2,281",0,Fasteners,Screw,,,,
PLMS002C0004STLCT,2-56 X 1/4 PHIL FILL HD MS,ACC-SP,701,"2,750",0,Fasteners,Screw,,,,
PLMS002C0007SSP,2-56X7/16 PHIL FILL HD M/S,ACC-SP,701,"6,780",0,Fasteners,Screw,,,,
PLMS002C0008SSPL,2-56 X 1/2 PHIL FILL M/S 18-8,ACC-SP,701,"2,150",0,Fasteners,Screw,,,,
PLMS002C0009SSP,2-56 X 9/16 PHIL FILLISTER M/S,ACC-SP,701,"3,348",0,Fasteners,Screw,,,,
PLMS002C0010SS,2-56 X 5/8 PHIL FILLISTER M/S,HI-Q,700,"5,000",0,Fasteners,Screw,,,,
PLMS002C0010SSP,2-56 X 5/8 PHIL FILLISTER M/S,ACC-SP,701,"5,789",0,Fasteners,Screw,,,,
PLMS002C0012SSP,2-56 X 3/4 PHIL FILLISTER M/S,ACC-SP,800,"5,966",0,Fasteners,Screw,,,,
PLMS002C0013SSP,2-56 X 13/16 PHIL FILLISTER,ACC-SP,702,615,0,Fasteners,Screw,,,,
PLMS002C0014SSP,2-56 X 7/8 PHIL FILLISTER M/S,ACC-SP,701,825,0,Fasteners,Screw,,,,
PLMS002C0017SS,2-56 X 1-1/16 PHIL FILLISTER,STR,800,20,0,Fasteners,Screw,,,,
PLMS002C0017SSP,2-56 X 1-1/16 PHIL FILL M/S,ACC-SP,801,"5,100",0,Fasteners,Screw,,,,
PLMS002C0018SSP,2-56 X 1-1/8 PHIL FILLISTER MS,TRIEM,801,"3,880",0,Fasteners,Screw,,,,
PLMS002C0024SSP,2-56 X 1-1/2 PHIL FILLISTER,TRIEM,800,680,0,Fasteners,Screw,,,,
PLMS004C0006STCI,4-40 X 3/8 PHIL FILL HD M/S,ACC-SP,701,960,0,Fasteners,Screw,,,,
PLMS004C0007STCL,4-40 X 7/16 PHILLIP FILLISTER,ACC-SP,701,"6,174",0,Fasteners,Screw,,,,
PLMS004C0008STCY,4-40X1/2 PHIL FILL HD M/S,ACC-SP,701,"5,567",0,Fasteners,Screw,,,,
PLMS004C0010STCY,4-40 X 5/8 PHIL FILL HD M/S,ACC-SP,701,"5,000",0,Fasteners,Screw,,,,
PLMS004C0010STZI,4-40 X 5/8 PHL FILLISTER HEAD,KAN,700,"10,000",0,Fasteners,Screw,,,,
PLMS004C0010STZI-C,4-40 X 5/8 PHIL FILL HEAD MS,ACC-SP,701,"8,000",0,Fasteners,Screw,,,,
PLMS006C0014STZI3,6-32 X 7/8 PHL FILL HD M/S,KAN,700,"6,500",0,Fasteners,Screw,,,,
PLMS010F0020STBO,10-32 X 1 1/4 PHILLIPS,KAN,701,"6,000",0,Fasteners,Screw,,,,
PLT.6SM-M,PLT.6SM-M  PANDUIT CABLE TIE,FE,700,"3,400",0,Electrical & Wiring,Wire / Cable,,,,
PLT.7M,"PLT.7M PANDUIT 3-1/8"" CABLE",LEEJOH,700,"9,300",0,Electrical & Wiring,Wire / Cable,,,,
PLT1M-M,PLT1M-M PANDUIT,LEEJOH,700,"4,000",0,Hardware & Fittings,Hardware Component,,,,
PLT1M-M0,PLT1M-M0 BLACK,FE,600-NAV,22,"10,000",Hardware & Fittings,Hardware Component,,,,
PLT1M-MP,PLT1M-MP,FE,700,"13,000",0,Hardware & Fittings,Hardware Component,,,,
PLT2S-M0,PANDUIT PLT2S-M0   BLACK,FE,700,"2,244","2,000",Hardware & Fittings,Hardware Component,,,,
PMTK008 0020STZI,#8 X1-1/4 PHL MOD TRUSS TEK SC,CYW,700,"2,000",0,Fasteners,Screw,,,,
PMTK008 012STZI,#8 X 3/4 PHL MOD-TRUSS TEK,CYW,700,"1,000","20,000",Fasteners,Screw,,,,
PMTS008 0026SSPP-MAH,8-8 X 1-5/8 PHIL/SQUARE COMBO,ACC-SP,986,"80,870",0,Fasteners,Screw,,,,
PMTS008 0026SSPP-TEK,8-8 X 1 5/8 PHIL/SQUARE COMBO,ACC-SP,986,"8,000",0,Fasteners,Screw,,,,
PMTS008 012STZI,#8 X 3/4 PHIL MOD TRUSS SHARP,CYW,700,"8,000",0,Fasteners,Screw,,,,
PN012FNUTSTNI,M12-1.0 X 14MM AF AND 2.00 THK,ACC-SP,701,"6,500",0,Fasteners,Screw,,,,
PN14-10R-M,PANDUIT,LEEJOH,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
PN14-6R,PANDUIT PN14-6R CAN US -C OR,LEEJOH,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
PN375EFSTBO,3/8-32 NEF-2A PANEL NUT STEEL,ACC-SP,701,"11,900",0,Fasteners,Nut,,,,
POCKET SLEEVES,FOR STAKE BED GATES,BOHNOFF,000,8,0,Hardware & Fittings,Hardware Component,,,,
POMS004C0004STNI,4-40 X 1/4 PHIL OVAL MACHINE,ACC-SP,701,"31,595",0,Fasteners,Screw,,,,
POMS004C0008STNI,4-40 X 1/2 PHIL OVAL MACHINE,ACC-SP,701,"2,700",0,Fasteners,Screw,,,,
POMS006C0010STGP,#6-32 X 5/8 PHILLIPS OVAL HEAD,ACC-SP,701,"14,000",0,Fasteners,Screw,,,,
POMS006C0010STNI,6-32 X 5/8 P-OVAL HEAD M/S,GOFAST,901-FEND,"200,250",0,Fasteners,Screw,,,,
POMS006C0012STNI,6-32 X 3/4 P-OVAL HEAD M/S,ACC-SP,701,"6,300",0,Fasteners,Screw,,,,
POMS006C0024STAB,6-32 X 1-1/2 PHIL OVAL M/S,ACC-SP,701,"13,800",0,Fasteners,Screw,,,,
POMS008C0012STNI,8-32 X 3/4 PHL OVAL M/S STEEL,ACC-SP,701,"1,500",0,Fasteners,Screw,,,,
POMS008C0016STNI,8-32 X 1 PHIL OVAL HD M/S,WELLFL,901-FEND,"23,000",0,Fasteners,Screw,,,,
POMS008C0019STBOCP,8-32 X 1-3/16 PHIL OVAL MS,TRIEM,800,"34,500",0,Fasteners,Screw,,,,
POMS008C0019STNICP,8-32 X 1-3/16 PHIL OVAL MS,ACC-SP,801,"1,000",0,Fasteners,Screw,,,,
POMS008C0028STNI,8-32 X 1 3/4 PHIL OVAL M/S STL,ACC-SP,700,"3,000",0,Fasteners,Screw,,,,
POMS010C0014STZINP,10-24 X 7/8 PHIL OVAL MS STEEL,ACC-SP,701,"4,047",0,Fasteners,Screw,,,,
POMS010F0.66S1CS-P,10-32X.66 PHIL OVAL HD CAPTIVE,WELLFL,986-2-2024,"7,000",0,Fasteners,Screw,,,,
POMS010F0006SS,10-32 X 3/8 PHIL OVAL M/S S/S,BBS,700,"2,000",0,Fasteners,Screw,,,,
POMS010F0006SSNP,10-32 X 3/8 PHIL OVAL M/S S/S,ACC-SP,701,"7,045",0,Fasteners,Screw,,,,
POMS010F0008STBZ3,10-32 X 1/2 PHL OVAL M/S STEEL,ACC-SP,701,"2,000",0,Fasteners,Screw,,,,
POMS010F0016STBO,10-32 X 1 PHIL OVAL M/S STL,ACC-SP,701,"12,000",0,Fasteners,Screw,,,,
POMS010F0018STBO,10-32 X 1-1/8 PHIL OVAL M/S,WELLFL,901-FEND,"231,450",0,Fasteners,Screw,,,,
POMS010F0018STNI,10-32 X1-1/8 PH OV MS STEEL,ACC-SP,901-FEND,"131,500",0,Fasteners,Screw,,,,
POMS010F0024STBO,10-32 X 1 1/2 PHL OVAL M/S,KAN,701,"1,300",0,Fasteners,Screw,,,,
POMS010F0024STNI,10-32 X 1 1/2 PHL OVAL M/S,ACC-SP,701,"3,200",0,Fasteners,Screw,,,,
POMS010F0034SS,10-32 X 2-1/8 PHIL OVAL 60,TRIEM,700,"7,500",0,Fasteners,Screw,,,,
POMS010F0034SS-BK,10-32 X 2-1/8 PHIL OVAL 60,ACC-SP,701,"1,000",0,Fasteners,Screw,,,,
POMS010F0034STZIVB,10-32 X 2-1/8 PHIL OVAL 60,ACC-SP,701,"13,250",0,Fasteners,Screw,,,,
POMS050C0020STBZ3,M5 X 20MM PHIL OVAL MACHINE,ACC-SP,701,"33,893",0,Hardware & Fittings,Hardware Component,,,,
POMS060C035SS  BN78,M6 X 35MM PHIL OVAL MS,LM,700,200,"-9,800",Hardware & Fittings,Hardware Component,,,,
POMS250C0012STZI3,1/4-20 X 3/4 PHIL OVAL MS STL,BBS,700,"2,000",0,Fasteners,Screw,,,,
POMS250C0020SSBO,1/4-20 X 1-1/4 PHIL OVAL MACH,ACC-SP,700,"1,000",0,Fasteners,Screw,,,,
POMS250C008STBO,1/4-20 X 1/2 PHIL OVAL MS,KAN,700,"6,000",0,Fasteners,Screw,,,,
POMS250C008STZI,1/4-20 X 1/2 PHIL OVAL MS STL,KAN,700,"3,500",0,Fasteners,Screw,,,,
POMS250F0032STBO,"1/4-28 X 2"" PHILLIPS OVAL HEAD",ACC-SP,700,500,0,Fasteners,Screw,,,,
POMS250F0032STZI3,"1/4-28 X 2"" PHILLIPS OVAL HEAD",KAN,700,"2,500",0,Fasteners,Screw,,,,
POMS250F1.56STNI-SP,1/4-28 X 1.56 MACHINE SCREW,TRIEM,800,"1,200",0,Fasteners,Screw,,,,
POTS001C0008STZT,1 X 1/2 PHIL OVAL #0 HEAD,ACC-SP,701,"3,600",0,Fasteners,Screw,,,,
POTS002 006STNIAB,2 X 3/8 PHIL OVAL TYPE AB STL,ACC-SP,701,"1,560",0,Fasteners,Screw,,,,
POTS003 0008ST BOAB,"#3X 1/2 PHL OVAL HEAD SMS ""AB""",TRIEM,700,"5,400",0,Fasteners,Screw,,,,
POTS003 0008ST NIAB,"#3X 1/2 PHL OVAL HEAD SMS ""AB""",TRIEM,701,"29,380",0,Fasteners,Screw,,,,
POTS004 0008ST BOA,4 X 1/2 PHIL OVAL SMS TYPE A,ACC-SP,701,"31,207",0,Fasteners,Screw,,,,
POTS004 0008ST GDA,4 X 1/2 PHIL OVAL SMS TYPE A,ACC-SP,701,"21,040",0,Fasteners,Screw,,,,
POTS004 0008ST NIA,4 X 1/2 PHIL OVAL SMS TYPE A,GOFAST,901-FEND,"1,072,810","2,000,000",Fasteners,Screw,,,,
POTS004 0012ST NIAB,4 X 3/4 PHIL OVAL SMS TYPE AB,ACC-SP,700,"10,500",0,Fasteners,Screw,,,,
POTS004 0016STZIABBZ,#4-24X1 PHIL OVAL SMS TYPE AB,ACC-SP,701,"1,905",0,Fasteners,Screw,,,,
POTS005 016ST BZAB,#5 X 1 PHIL OVAL HD SMS TYPE,ACC-SP,701,"23,120",0,Fasteners,Screw,,,,
POTS005 016ST GPAB,#5 X 1 PHIL OVAL HD SMS TYPE,ACC-SP,700,"4,842",0,Fasteners,Screw,,,,
POTS005 016ST NIAB-W,#5 X 1 PHIL OVAL HD SMS TYPE,WELLFL,901-FEND,"245,100","400,000",Fasteners,Screw,,,,
POTS006 0020STBO A,6 X 1 1/4 PHIL OVAL TYPE A,ACC-SP,701,"1,400",0,Fasteners,Screw,,,,
POTS006 0020STNI A,6 X 1 1/4 PHIL OVAL TYPE A,ACC-SP,701,"1,850",0,Fasteners,Screw,,,,
POTS006 008SS BOA,6 X 1/2 P-OVAL SMS STAINLESS,ACC-SP,701,"16,000",0,Fasteners,Screw,,,,
POTS006 010S1 A,6X5/8 PHIL OVAL HD TYPE A SMS,STR,700,76,0,Fasteners,Screw,,,,
POTS006 016ST NIA,#6 X 1 PHIL OVAL HD SMS TYPE A,WELLFL,901-FEND,"156,000",0,Fasteners,Screw,,,,
POTS008 0012ST ABNI,8 X 3/4 PHL OVAL SMS TYPE AB,ACC-SP,701,"16,500",0,Fasteners,Screw,,,,
POTS008 0012ST BOA,8X3/4 PHIL OVAL HD TYPE A SMS,KAN,701,"11,735",0,Fasteners,Screw,,,,
POTS008 0024STNI,"#8-18 X 1-1/2"" OVAL HEAD PHIL",KWOKTA,902-FEND,"69,550",0,Fasteners,Screw,,,,
POTS008 0032S1 A,"#8X 2"" PHIL OVAL HD TYPE A SMS",STR,704-JAC,"12,000","40,000",Fasteners,Screw,,,,
POTS008 0032STZI3 A,"#8-15 X 2"" PHILLIPS OVAL HEAD",BBS,700,400,0,Fasteners,Screw,,,,
POTS008 016ST BOAB,#8 X 1 PHIL OVAL SMS TYPE AB,KAN,700,"5,345",0,Fasteners,Screw,,,,
POTS008 016ST ZTA-W,#8 X 1 PHIL OVAL SMS TYPE A,ACC-SP,701,"12,950",0,Fasteners,Screw,,,,
POTS008 020ST BOA,8 X 1 1/4 PHIL OVAL SMS TYPE A,KAN,701,"2,000",0,Fasteners,Screw,,,,
POTS008 020ST NIA,8 X 1 1/4 PHIL OVAL SMS TYPE A,KWOKTA,902-FEND,"47,400",0,Fasteners,Screw,,,,
POTS008 024ST BOA,8 X 1 1/2 PHIL OVAL SMS TYPE A,ACC-SP,701,"34,000",0,Fasteners,Screw,,,,
POTS008 024ST NIA,8 X 1 1/2 PHIL OVAL SMS TYPE A,ACC-SP,701,"25,500",0,Fasteners,Screw,,,,
POTS008 028ST BLELA,8 X 1 3/4 PHIL OVAL SMS TYPE A,ACC-SP,701,"17,300",0,Fasteners,Screw,,,,
POTS008 028ST BZA,8 X 1 3/4 PHIL OVAL SMS TYPE A,ACC-SP,701,"3,100",0,Fasteners,Screw,,,,
POTS008 028ST NIAB-W,"#8X 1-3/4"" PHIL OVAL SMS AB",WELLFL,901-FEND,"249,880","500,000",Fasteners,Screw,,,,
POTS008 028ST ZIA,8 X 1 3/4 PHIL OVAL SMS TYPE A,BBS,700,0,"10,000",Fasteners,Screw,,,,
POTS008 028STGLDA,8 X 1 3/4 PHIL OVAL SMS TYPE A,ACC-SP,701,"4,478",0,Fasteners,Screw,,,,
POTS008C0052STNI CP,8-32 X 3 1/4 PHIL OVAL MACHINE,KWOKTA,901-FEND,"63,600",0,Fasteners,Screw,,,,
POTS010 0012STNI A,#10 X 3/4 PHIL OVAL SMS TYPE A,ACC-SP,701,650,0,Fasteners,Screw,,,,
POTS010 0032STBO A,10X2 PHIL OVAL HD TYPE A SMS,ACC-SP,701,"25,500",0,Fasteners,Screw,,,,
POWS003 0028STBO-UH,#3 X 1-3/4 PHILLIPS OVAL WOOD,TRIEM,700,170,0,Fasteners,Screw,,,,
POWS004 0012STNI,4 X 3/4 PHIL OVAL WOOD SCREW,ACC-SP,701,"13,000",0,Fasteners,Screw,,,,
POWS004 0020STNI-W,4 X 1 1/4 PHIL OVAL WOOD SCREW,KWOKTA,901-FEND,"55,800",0,Fasteners,Screw,,,,
POWS006 0016STNI-W,6 X 1 PHIL OVAL WOOD SCREW,WELLFL,901-FEND,"299,400",0,Fasteners,Screw,,,,
POWS010 0020STBO,10 X 1 1/4 PHL OVAL HEAD WOOD,TRIEM,800,"2,500",0,Fasteners,Screw,,,,
POWS010 0020STGP,10 X 1 1/4 PHL OVAL HEAD WOOD,ACC-SP,800,598,0,Fasteners,Screw,,,,
POWS010 0020STNI,10 X 1 1/4 PHL OVAL HEAD WOOD,ACC-SP,701,"5,100",0,Fasteners,Screw,,,,
POWS010 0024STBO,10 X 1 1/2 PHL OVAL HEAD WOOD,ACC-SP,701,"3,800",0,Fasteners,Screw,,,,
POWS010 0024STNI,10 X 1 1/2 PHL OVAL HEAD WOOD,ACC-SP,701,"2,450",0,Fasteners,Screw,,,,
POWS010 0028STBO,10 X 1 3/4 PHL OVAL HEAD WOOD,ACC-SP,701,"1,800",0,Fasteners,Screw,,,,
PPC 4 PK,KIT ITEM PPC 4 PK CONTAINS,ACCU-WO,600,"1,507",0,Hardware & Fittings,Kit,,,,
PPDC008  0010SS-PP,8-11 X 5/8 PHIL PAN DEEP,KWOKTA,901-JAC,"20,000",0,Fasteners,Screw,,,,
PPDW004C0004STZI,4-40 X 1/4 PHL PAN DOUBLE,HI-Q,700,"1,000",0,Fasteners,Screw,,,,
PPDW020C006STZI3-5MM,M2 X 6MM PHL PAN SPLIT FLAT,KAN,700,"4,000",0,Hardware & Fittings,Hardware Component,,,,
PPDW030C008SSBO,M3X 8 PHIL PAN HD DOUBLE,ACC-SP,701,"38,050",0,Fasteners,Screw,,,,
PPES004C0008SS,#4-40 X 1/2 PHIL PAN EXTERNAL,HI-Q,700,"2,960",0,Fasteners,Screw,,,,
PPES006C0006SS,6-32 X 3/8 PHILLIP PAN HEAD,HI-Q,700,"18,700",0,Fasteners,Screw,,,,
PPES008C0004SS,#8-32 X 1/4 PHILLIPS PAN EXT,HI-Q,700,500,0,Fasteners,Screw,,,,
PPES040C0010SS,M4-0.7 X 10MM PHILLIP PAN HEAD,LM,700,"2,000",0,Fasteners,Screw,,,,
PPFTK06 007STBP,6-20 X 7/16  SPECIAL PHIL PAN,KAN,700,"1,500",0,Fasteners,Screw,,,,
PPHL002 0004STZI,2-32 X 1/4 P-PAN HI-LO STEEL,BEACON,700,"6,500",0,Fasteners,Screw,,,,
PPHL004 0005STZI,4-24 X 5/16 PHIL PAN HI/LO STL,HI-Q,700,"22,800",0,Fasteners,Screw,,,,
PPHL004 0008SS,#4 X 1/2 PHIL PAN HI LO 18-8,STR,700,"30,000",0,Fasteners,Screw,,,,
PPHL004 0008STZI,#4x1/2 PHIL PAN HI/LO STL ZINC,HI-Q,700,500,0,Fasteners,Screw,,,,
PPHL006 0004SS,#6 X 1/4 PHL PAN HI-LOW S/S,STR,700,100,0,Fasteners,Screw,,,,
PPHL006 0005SS,#6 X 5/16 PHL PAN HILOW 18-8,HI-Q,700,"22,850",0,Fasteners,Screw,,,,
PPHL006 0006SS,6-19 X 3/8 PHL PAN HI-LO,HI-Q,700,"13,700",0,Fasteners,Screw,,,,
PPHL006 0006STZI3,6-19 X 3/8 PHL PAN HI-LO,HI-Q,704-RB,"160,800","402,500",Fasteners,Screw,,,,
PPHL006 0008SS,6X1/2 PHIL PAN HD HI-LO 18/8,BEACON,700,"2,000",0,Fasteners,Screw,,,,
PPHL006 0010STZI,#6x5/8 PHIL PAN HI/LO STL ZINC,HI-Q,700,300,0,Fasteners,Screw,,,,
PPHL008 0006S2,#8 X 3/8 PHIL PAN HI/LO,STR,700,"2,540","20,000",Fasteners,Screw,,,,
PPHL008 0010SS,#8 X 5/8 PHL PAN HI LO SS 18-8,STR,704-BALB,"136,490","385,000",Fasteners,Screw,,,,
PPHL008 0012SS,8-18 X 3/4 PHL PAN HI LOW S/S,STR,700,"14,900",0,Fasteners,Screw,,,,
PPHL010 0006STZI,#10 X 3/8 PHIL PAN HI-LO,BEACON,700,"4,330",0,Fasteners,Screw,,,,
PPHL010 0010STBZ,#10 X 5/8 PHL PAN HI-LOW STEEL,WELLFL,901-BALBOA,"195,250",0,Fasteners,Screw,,,,
PPHL010 0012SS,#10 X 3/4 PHL PAN HI-LOW 18-8,WELLFL,901-BALBOA,"61,490",0,Fasteners,Screw,,,,
PPHL060 0024SS410,#6 X 1-1/2 PHILLIP PAN HEAD,KWOKTA,902-GECKO,"14,000",0,Fasteners,Screw,,,,
PPIB-10-12,PPIB-10-12 ANCHOR NUT 10 X 1,PETERS,700,"42,906",0,Fasteners,Nut,,,,
PPIB-14-16,14-16 PLASTIC ANCHOR BLUE,PETERS,700,"1,510",0,Fasteners,Anchor,,,,
